"days","degdays","subj","taxon","counts","fracBySubjDay"
0,0,"A1","Acari",1,3.61284728494527e-05
0,0,"A1","Agaricales",11,0.000397413201343979
0,0,"A1","Ascaridida",30,0.00108385418548358
0,0,"A1","Asterales",23,0.000830954875537411
0,0,"A1","Bacillariophytina",578,0.0208822573069836
0,0,"A1","Capnodiales",217,0.00783987860833123
0,0,"A1","Chaetothyriales",3,0.000108385418548358
0,0,"A1","Chlamydomonadales",350,0.0126449654973084
0,0,"A1","Chromulinales",123,0.00444380216048268
0,0,"A1","Coccidia",97,0.00350446186639691
0,0,"A1","Coleoptera",6,0.000216770837096716
0,0,"A1","Collembola",4,0.000144513891397811
0,0,"A1","Conthreep",896,0.0323711116731096
0,0,"A1","Cryomonadida",476,0.0171971530763395
0,0,"A1","Diptera",589,0.0212796705083276
0,0,"A1","Eurotiales",2218,0.080132952780086
0,0,"A1","Eustigmatales",311,0.0112359550561798
0,0,"A1","Fabales",23,0.000830954875537411
0,0,"A1","Filobasidiales",749,0.02706022616424
0,0,"A1","Gregarinasina",1,3.61284728494527e-05
0,0,"A1","Liliopsida",1653,0.0597203656201452
0,0,"A1","Litostomatea",2913,0.105242241410456
0,0,"A1","Malasseziales",38,0.0013728819682792
0,0,"A1","Metakinetoplastina",52,0.00187868058817154
0,0,"A1","Mucorales",1336,0.0482676397268687
0,0,"A1","Opiliones",0,0
0,0,"A1","Peronosporomycetes",577,0.0208461288341342
0,0,"A1","Pleosporales",265,0.00957404530510495
0,0,"A1","Polyporales",14,0.000505798619892337
0,0,"A1","Ranunculales",4,0.000144513891397811
0,0,"A1","Rare",1767,0.0638390115249828
0,0,"A1","Rhabditida",1975,0.071353733877669
0,0,"A1","Saccharomycetales",6522,0.23562989992413
0,0,"A1","Sapindales",197,0.00711730915134217
0,0,"A1","Schizosaccharomycetales",0,0
0,0,"A1","Spirotrichea",308,0.0111275696376314
0,0,"A1","Sporidiobolales",160,0.00578055565591242
0,0,"A1","Taphrinales",46,0.00166190975107482
0,0,"A1","Tremellales",51,0.00184255211532209
0,0,"A1","Trichosporonales",3095,0.111817623469056
0,0,"A2","Acari",4,0.000641848523748395
0,0,"A2","Agaricales",1,0.000160462130937099
0,0,"A2","Ascaridida",131,0.0210205391527599
0,0,"A2","Asterales",0,0
0,0,"A2","Bacillariophytina",3,0.000481386392811297
0,0,"A2","Capnodiales",40,0.00641848523748395
0,0,"A2","Chaetothyriales",1,0.000160462130937099
0,0,"A2","Chlamydomonadales",9,0.00144415917843389
0,0,"A2","Chromulinales",2,0.000320924261874198
0,0,"A2","Coccidia",8,0.00128369704749679
0,0,"A2","Coleoptera",21,0.00336970474967908
0,0,"A2","Collembola",0,0
0,0,"A2","Conthreep",64,0.0102695763799743
0,0,"A2","Cryomonadida",20,0.00320924261874198
0,0,"A2","Diptera",304,0.0487804878048781
0,0,"A2","Eurotiales",394,0.0632220795892169
0,0,"A2","Eustigmatales",0,0
0,0,"A2","Fabales",16,0.00256739409499358
0,0,"A2","Filobasidiales",255,0.0409178433889602
0,0,"A2","Gregarinasina",0,0
0,0,"A2","Liliopsida",69,0.0110718870346598
0,0,"A2","Litostomatea",680,0.109114249037227
0,0,"A2","Malasseziales",4,0.000641848523748395
0,0,"A2","Metakinetoplastina",4,0.000641848523748395
0,0,"A2","Mucorales",252,0.0404364569961489
0,0,"A2","Opiliones",0,0
0,0,"A2","Peronosporomycetes",5,0.000802310654685494
0,0,"A2","Pleosporales",167,0.0267971758664955
0,0,"A2","Polyporales",0,0
0,0,"A2","Ranunculales",0,0
0,0,"A2","Rare",125,0.0200577663671374
0,0,"A2","Rhabditida",1869,0.299903722721438
0,0,"A2","Saccharomycetales",985,0.158055198973042
0,0,"A2","Sapindales",0,0
0,0,"A2","Schizosaccharomycetales",0,0
0,0,"A2","Spirotrichea",5,0.000802310654685494
0,0,"A2","Sporidiobolales",28,0.00449293966623877
0,0,"A2","Taphrinales",1,0.000160462130937099
0,0,"A2","Tremellales",10,0.00160462130937099
0,0,"A2","Trichosporonales",755,0.12114890885751
0,0,"A3","Acari",0,0
0,0,"A3","Agaricales",6,0.000287590471169055
0,0,"A3","Ascaridida",17,0.000814839668312323
0,0,"A3","Asterales",0,0
0,0,"A3","Bacillariophytina",0,0
0,0,"A3","Capnodiales",63,0.00301969994727508
0,0,"A3","Chaetothyriales",3,0.000143795235584528
0,0,"A3","Chlamydomonadales",32,0.00153381584623496
0,0,"A3","Chromulinales",21,0.00100656664909169
0,0,"A3","Coccidia",54,0.0025883142405215
0,0,"A3","Coleoptera",3,0.000143795235584528
0,0,"A3","Collembola",0,0
0,0,"A3","Conthreep",113,0.00541628720701721
0,0,"A3","Cryomonadida",1,4.79317451948425e-05
0,0,"A3","Diptera",1023,0.0490341753343239
0,0,"A3","Eurotiales",1441,0.0690696448257681
0,0,"A3","Eustigmatales",0,0
0,0,"A3","Fabales",35,0.00167761108181949
0,0,"A3","Filobasidiales",937,0.0449120452475675
0,0,"A3","Gregarinasina",0,0
0,0,"A3","Liliopsida",256,0.0122705267698797
0,0,"A3","Litostomatea",8236,0.394765853424723
0,0,"A3","Malasseziales",45,0.00215692853376791
0,0,"A3","Metakinetoplastina",125,0.00599146814935532
0,0,"A3","Mucorales",702,0.0336480851267795
0,0,"A3","Opiliones",0,0
0,0,"A3","Peronosporomycetes",0,0
0,0,"A3","Pleosporales",90,0.00431385706753583
0,0,"A3","Polyporales",7,0.000335522216363898
0,0,"A3","Ranunculales",0,0
0,0,"A3","Rare",325,0.0155778171883238
0,0,"A3","Rhabditida",2336,0.111968556775152
0,0,"A3","Saccharomycetales",2274,0.108996788573072
0,0,"A3","Sapindales",4,0.00019172698077937
0,0,"A3","Schizosaccharomycetales",0,0
0,0,"A3","Spirotrichea",30,0.00143795235584528
0,0,"A3","Sporidiobolales",93,0.00445765230312036
0,0,"A3","Taphrinales",0,0
0,0,"A3","Tremellales",28,0.00134208886545559
0,0,"A3","Trichosporonales",2563,0.122849062934381
0,0,"A4","Acari",1,3.84763370527126e-05
0,0,"A4","Agaricales",3,0.000115429011158138
0,0,"A4","Ascaridida",561,0.0215852250865718
0,0,"A4","Asterales",0,0
0,0,"A4","Bacillariophytina",0,0
0,0,"A4","Capnodiales",198,0.00761831473643709
0,0,"A4","Chaetothyriales",5,0.000192381685263563
0,0,"A4","Chlamydomonadales",140,0.00538668718737976
0,0,"A4","Chromulinales",8,0.000307810696421701
0,0,"A4","Coccidia",24,0.000923432089265102
0,0,"A4","Coleoptera",2,7.69526741054252e-05
0,0,"A4","Collembola",0,0
0,0,"A4","Conthreep",68,0.00261639091958446
0,0,"A4","Cryomonadida",4,0.00015390534821085
0,0,"A4","Diptera",1389,0.0534436321662178
0,0,"A4","Eurotiales",1031,0.0396691035013467
0,0,"A4","Eustigmatales",0,0
0,0,"A4","Fabales",12,0.000461716044632551
0,0,"A4","Filobasidiales",1388,0.0534051558291651
0,0,"A4","Gregarinasina",0,0
0,0,"A4","Liliopsida",628,0.0241631396691035
0,0,"A4","Litostomatea",967,0.0372066179299731
0,0,"A4","Malasseziales",10,0.000384763370527126
0,0,"A4","Metakinetoplastina",8,0.000307810696421701
0,0,"A4","Mucorales",1901,0.0731435167372066
0,0,"A4","Opiliones",0,0
0,0,"A4","Peronosporomycetes",0,0
0,0,"A4","Pleosporales",144,0.00554059253559061
0,0,"A4","Polyporales",11,0.000423239707579838
0,0,"A4","Ranunculales",0,0
0,0,"A4","Rare",322,0.0123893805309735
0,0,"A4","Rhabditida",8707,0.335013466717968
0,0,"A4","Saccharomycetales",3588,0.138053097345133
0,0,"A4","Sapindales",10,0.000384763370527126
0,0,"A4","Schizosaccharomycetales",0,0
0,0,"A4","Spirotrichea",12,0.000461716044632551
0,0,"A4","Sporidiobolales",186,0.00715659869180454
0,0,"A4","Taphrinales",0,0
0,0,"A4","Tremellales",50,0.00192381685263563
0,0,"A4","Trichosporonales",4612,0.17745286648711
0,0,"A5","Acari",0,0
0,0,"A5","Agaricales",0,0
0,0,"A5","Ascaridida",1,0.000286861732644865
0,0,"A5","Asterales",0,0
0,0,"A5","Bacillariophytina",2,0.00057372346528973
0,0,"A5","Capnodiales",3,0.000860585197934596
0,0,"A5","Chaetothyriales",0,0
0,0,"A5","Chlamydomonadales",21,0.00602409638554217
0,0,"A5","Chromulinales",4,0.00114744693057946
0,0,"A5","Coccidia",18,0.00516351118760757
0,0,"A5","Coleoptera",0,0
0,0,"A5","Collembola",0,0
0,0,"A5","Conthreep",181,0.0519219736087206
0,0,"A5","Cryomonadida",0,0
0,0,"A5","Diptera",24,0.00688468158347676
0,0,"A5","Eurotiales",24,0.00688468158347676
0,0,"A5","Eustigmatales",0,0
0,0,"A5","Fabales",19,0.00545037292025244
0,0,"A5","Filobasidiales",24,0.00688468158347676
0,0,"A5","Gregarinasina",0,0
0,0,"A5","Liliopsida",113,0.0324153757888698
0,0,"A5","Litostomatea",638,0.183017785427424
0,0,"A5","Malasseziales",0,0
0,0,"A5","Metakinetoplastina",2,0.00057372346528973
0,0,"A5","Mucorales",20,0.0057372346528973
0,0,"A5","Opiliones",123,0.0352839931153184
0,0,"A5","Peronosporomycetes",12,0.00344234079173838
0,0,"A5","Pleosporales",3,0.000860585197934596
0,0,"A5","Polyporales",0,0
0,0,"A5","Ranunculales",0,0
0,0,"A5","Rare",9,0.00258175559380379
0,0,"A5","Rhabditida",1296,0.371772805507745
0,0,"A5","Saccharomycetales",867,0.248709122203098
0,0,"A5","Sapindales",0,0
0,0,"A5","Schizosaccharomycetales",0,0
0,0,"A5","Spirotrichea",5,0.00143430866322433
0,0,"A5","Sporidiobolales",1,0.000286861732644865
0,0,"A5","Taphrinales",0,0
0,0,"A5","Tremellales",2,0.00057372346528973
0,0,"A5","Trichosporonales",74,0.02122776821572
0,0,"A6","Acari",0,0
0,0,"A6","Agaricales",0,0
0,0,"A6","Ascaridida",3,0.000679347826086957
0,0,"A6","Asterales",0,0
0,0,"A6","Bacillariophytina",3,0.000679347826086957
0,0,"A6","Capnodiales",19,0.00430253623188406
0,0,"A6","Chaetothyriales",1,0.000226449275362319
0,0,"A6","Chlamydomonadales",8,0.00181159420289855
0,0,"A6","Chromulinales",17,0.00384963768115942
0,0,"A6","Coccidia",13,0.00294384057971014
0,0,"A6","Coleoptera",0,0
0,0,"A6","Collembola",0,0
0,0,"A6","Conthreep",48,0.0108695652173913
0,0,"A6","Cryomonadida",7,0.00158514492753623
0,0,"A6","Diptera",171,0.0387228260869565
0,0,"A6","Eurotiales",46,0.0104166666666667
0,0,"A6","Eustigmatales",13,0.00294384057971014
0,0,"A6","Fabales",30,0.00679347826086957
0,0,"A6","Filobasidiales",34,0.00769927536231884
0,0,"A6","Gregarinasina",1,0.000226449275362319
0,0,"A6","Liliopsida",128,0.0289855072463768
0,0,"A6","Litostomatea",123,0.0278532608695652
0,0,"A6","Malasseziales",1,0.000226449275362319
0,0,"A6","Metakinetoplastina",7,0.00158514492753623
0,0,"A6","Mucorales",35,0.00792572463768116
0,0,"A6","Opiliones",0,0
0,0,"A6","Peronosporomycetes",1,0.000226449275362319
0,0,"A6","Pleosporales",2,0.000452898550724638
0,0,"A6","Polyporales",0,0
0,0,"A6","Ranunculales",0,0
0,0,"A6","Rare",27,0.00611413043478261
0,0,"A6","Rhabditida",2495,0.564990942028985
0,0,"A6","Saccharomycetales",1085,0.245697463768116
0,0,"A6","Sapindales",0,0
0,0,"A6","Schizosaccharomycetales",0,0
0,0,"A6","Spirotrichea",7,0.00158514492753623
0,0,"A6","Sporidiobolales",2,0.000452898550724638
0,0,"A6","Taphrinales",0,0
0,0,"A6","Tremellales",0,0
0,0,"A6","Trichosporonales",89,0.0201539855072464
1,27,"A1","Acari",3,0.000226090888537192
1,27,"A1","Agaricales",48,0.00361745421659507
1,27,"A1","Ascaridida",25,0.00188409073780993
1,27,"A1","Asterales",0,0
1,27,"A1","Bacillariophytina",0,0
1,27,"A1","Capnodiales",67,0.00504936317733062
1,27,"A1","Chaetothyriales",0,0
1,27,"A1","Chlamydomonadales",35,0.00263772703293391
1,27,"A1","Chromulinales",0,0
1,27,"A1","Coccidia",10,0.000753636295123973
1,27,"A1","Coleoptera",1,7.53636295123973e-05
1,27,"A1","Collembola",0,0
1,27,"A1","Conthreep",180,0.0135654533122315
1,27,"A1","Cryomonadida",0,0
1,27,"A1","Diptera",290,0.0218554525585952
1,27,"A1","Eurotiales",1453,0.109503353681513
1,27,"A1","Eustigmatales",0,0
1,27,"A1","Fabales",8,0.000602909036099179
1,27,"A1","Filobasidiales",330,0.0248699977390911
1,27,"A1","Gregarinasina",0,0
1,27,"A1","Liliopsida",175,0.0131886351646695
1,27,"A1","Litostomatea",2656,0.200165799984927
1,27,"A1","Malasseziales",49,0.00369281784610747
1,27,"A1","Metakinetoplastina",0,0
1,27,"A1","Mucorales",855,0.0644359032330997
1,27,"A1","Opiliones",0,0
1,27,"A1","Peronosporomycetes",0,0
1,27,"A1","Pleosporales",192,0.0144698168663803
1,27,"A1","Polyporales",83,0.00625518124952898
1,27,"A1","Ranunculales",0,0
1,27,"A1","Rare",256,0.0192930891551737
1,27,"A1","Rhabditida",2417,0.182153892531464
1,27,"A1","Saccharomycetales",2364,0.178159620167307
1,27,"A1","Sapindales",0,0
1,27,"A1","Schizosaccharomycetales",0,0
1,27,"A1","Spirotrichea",0,0
1,27,"A1","Sporidiobolales",70,0.00527545406586781
1,27,"A1","Taphrinales",18,0.00135654533122315
1,27,"A1","Tremellales",46,0.00346672695757028
1,27,"A1","Trichosporonales",1638,0.123445625141307
1,27,"A2","Acari",0,0
1,27,"A2","Agaricales",7,0.000485470559678202
1,27,"A2","Ascaridida",7,0.000485470559678202
1,27,"A2","Asterales",0,0
1,27,"A2","Bacillariophytina",0,0
1,27,"A2","Capnodiales",64,0.00443858797420071
1,27,"A2","Chaetothyriales",1,6.9352937096886e-05
1,27,"A2","Chlamydomonadales",23,0.00159511755322838
1,27,"A2","Chromulinales",3,0.000208058811290658
1,27,"A2","Coccidia",9,0.000624176433871975
1,27,"A2","Coleoptera",2,0.000138705874193772
1,27,"A2","Collembola",0,0
1,27,"A2","Conthreep",104,0.00721270545807615
1,27,"A2","Cryomonadida",5,0.00034676468548443
1,27,"A2","Diptera",1763,0.12226922810181
1,27,"A2","Eurotiales",575,0.0398779388307095
1,27,"A2","Eustigmatales",0,0
1,27,"A2","Fabales",1,6.9352937096886e-05
1,27,"A2","Filobasidiales",405,0.0280879395242389
1,27,"A2","Gregarinasina",0,0
1,27,"A2","Liliopsida",110,0.00762882308065747
1,27,"A2","Litostomatea",906,0.0628337610097788
1,27,"A2","Malasseziales",6,0.000416117622581316
1,27,"A2","Metakinetoplastina",16,0.00110964699355018
1,27,"A2","Mucorales",473,0.0328039392468271
1,27,"A2","Opiliones",0,0
1,27,"A2","Peronosporomycetes",5,0.00034676468548443
1,27,"A2","Pleosporales",199,0.0138012344822803
1,27,"A2","Polyporales",46,0.00319023510645676
1,27,"A2","Ranunculales",0,0
1,27,"A2","Rare",236,0.0163672931548651
1,27,"A2","Rhabditida",5126,0.355503155558638
1,27,"A2","Saccharomycetales",2451,0.169984048824468
1,27,"A2","Sapindales",2,0.000138705874193772
1,27,"A2","Schizosaccharomycetales",0,0
1,27,"A2","Spirotrichea",9,0.000624176433871975
1,27,"A2","Sporidiobolales",63,0.00436923503710382
1,27,"A2","Taphrinales",1,6.9352937096886e-05
1,27,"A2","Tremellales",38,0.00263541160968167
1,27,"A2","Trichosporonales",1763,0.12226922810181
1,27,"A3","Acari",2,0.000177935943060498
1,27,"A3","Agaricales",0,0
1,27,"A3","Ascaridida",0,0
1,27,"A3","Asterales",0,0
1,27,"A3","Bacillariophytina",0,0
1,27,"A3","Capnodiales",94,0.00836298932384342
1,27,"A3","Chaetothyriales",1,8.89679715302491e-05
1,27,"A3","Chlamydomonadales",30,0.00266903914590747
1,27,"A3","Chromulinales",1,8.89679715302491e-05
1,27,"A3","Coccidia",68,0.00604982206405694
1,27,"A3","Coleoptera",3,0.000266903914590747
1,27,"A3","Collembola",0,0
1,27,"A3","Conthreep",5,0.000444839857651246
1,27,"A3","Cryomonadida",51,0.0045373665480427
1,27,"A3","Diptera",670,0.0596085409252669
1,27,"A3","Eurotiales",1288,0.114590747330961
1,27,"A3","Eustigmatales",0,0
1,27,"A3","Fabales",107,0.00951957295373665
1,27,"A3","Filobasidiales",388,0.0345195729537367
1,27,"A3","Gregarinasina",0,0
1,27,"A3","Liliopsida",349,0.0310498220640569
1,27,"A3","Litostomatea",2082,0.185231316725979
1,27,"A3","Malasseziales",0,0
1,27,"A3","Metakinetoplastina",0,0
1,27,"A3","Mucorales",517,0.0459964412811388
1,27,"A3","Opiliones",0,0
1,27,"A3","Peronosporomycetes",167,0.0148576512455516
1,27,"A3","Pleosporales",539,0.0479537366548043
1,27,"A3","Polyporales",40,0.00355871886120996
1,27,"A3","Ranunculales",0,0
1,27,"A3","Rare",224,0.0199288256227758
1,27,"A3","Rhabditida",1249,0.111120996441281
1,27,"A3","Saccharomycetales",2027,0.180338078291815
1,27,"A3","Sapindales",0,0
1,27,"A3","Schizosaccharomycetales",0,0
1,27,"A3","Spirotrichea",98,0.00871886120996441
1,27,"A3","Sporidiobolales",51,0.0045373665480427
1,27,"A3","Taphrinales",0,0
1,27,"A3","Tremellales",66,0.00587188612099644
1,27,"A3","Trichosporonales",1123,0.0999110320284698
1,27,"A4","Acari",0,0
1,27,"A4","Agaricales",9,0.00312174817898023
1,27,"A4","Ascaridida",0,0
1,27,"A4","Asterales",0,0
1,27,"A4","Bacillariophytina",0,0
1,27,"A4","Capnodiales",62,0.021505376344086
1,27,"A4","Chaetothyriales",0,0
1,27,"A4","Chlamydomonadales",0,0
1,27,"A4","Chromulinales",0,0
1,27,"A4","Coccidia",0,0
1,27,"A4","Coleoptera",6,0.00208116545265349
1,27,"A4","Collembola",1,0.000346860908775581
1,27,"A4","Conthreep",19,0.00659035726673604
1,27,"A4","Cryomonadida",0,0
1,27,"A4","Diptera",4,0.00138744363510232
1,27,"A4","Eurotiales",204,0.0707596253902185
1,27,"A4","Eustigmatales",0,0
1,27,"A4","Fabales",19,0.00659035726673604
1,27,"A4","Filobasidiales",210,0.072840790842872
1,27,"A4","Gregarinasina",0,0
1,27,"A4","Liliopsida",128,0.0443981963232744
1,27,"A4","Litostomatea",43,0.01491501907735
1,27,"A4","Malasseziales",1,0.000346860908775581
1,27,"A4","Metakinetoplastina",0,0
1,27,"A4","Mucorales",87,0.0301768990634755
1,27,"A4","Opiliones",0,0
1,27,"A4","Peronosporomycetes",0,0
1,27,"A4","Pleosporales",270,0.0936524453694069
1,27,"A4","Polyporales",3,0.00104058272632674
1,27,"A4","Ranunculales",0,0
1,27,"A4","Rare",71,0.0246271245230663
1,27,"A4","Rhabditida",39,0.0135275754422477
1,27,"A4","Saccharomycetales",896,0.310787374262921
1,27,"A4","Sapindales",0,0
1,27,"A4","Schizosaccharomycetales",0,0
1,27,"A4","Spirotrichea",0,0
1,27,"A4","Sporidiobolales",31,0.010752688172043
1,27,"A4","Taphrinales",0,0
1,27,"A4","Tremellales",37,0.0128338536246965
1,27,"A4","Trichosporonales",743,0.257717655220257
1,27,"A5","Acari",1,8.43525938422607e-05
1,27,"A5","Agaricales",36,0.00303669337832138
1,27,"A5","Ascaridida",6,0.000506115563053564
1,27,"A5","Asterales",0,0
1,27,"A5","Bacillariophytina",1,8.43525938422607e-05
1,27,"A5","Capnodiales",133,0.0112188949810207
1,27,"A5","Chaetothyriales",4,0.000337410375369043
1,27,"A5","Chlamydomonadales",12,0.00101223112610713
1,27,"A5","Chromulinales",11,0.000927878532264867
1,27,"A5","Coccidia",29,0.00244622522142556
1,27,"A5","Coleoptera",4,0.000337410375369043
1,27,"A5","Collembola",0,0
1,27,"A5","Conthreep",277,0.0233656684943062
1,27,"A5","Cryomonadida",22,0.00185575706452973
1,27,"A5","Diptera",699,0.0589624630957402
1,27,"A5","Eurotiales",863,0.0727962884858709
1,27,"A5","Eustigmatales",0,0
1,27,"A5","Fabales",4,0.000337410375369043
1,27,"A5","Filobasidiales",478,0.0403205398566006
1,27,"A5","Gregarinasina",0,0
1,27,"A5","Liliopsida",218,0.0183888654576128
1,27,"A5","Litostomatea",1884,0.158920286798819
1,27,"A5","Malasseziales",4,0.000337410375369043
1,27,"A5","Metakinetoplastina",7,0.000590468156895825
1,27,"A5","Mucorales",408,0.0344158582876423
1,27,"A5","Opiliones",0,0
1,27,"A5","Peronosporomycetes",3,0.000253057781526782
1,27,"A5","Pleosporales",367,0.0309574019401097
1,27,"A5","Polyporales",111,0.00936313791649093
1,27,"A5","Ranunculales",0,0
1,27,"A5","Rare",229,0.0193167439898776
1,27,"A5","Rhabditida",2660,0.224377899620413
1,27,"A5","Saccharomycetales",1530,0.129059468578659
1,27,"A5","Sapindales",0,0
1,27,"A5","Schizosaccharomycetales",0,0
1,27,"A5","Spirotrichea",4,0.000337410375369043
1,27,"A5","Sporidiobolales",79,0.00666385491353859
1,27,"A5","Taphrinales",4,0.000337410375369043
1,27,"A5","Tremellales",32,0.00269928300295234
1,27,"A5","Trichosporonales",1735,0.146351750316322
1,27,"A6","Acari",273,0.0143578415904071
1,27,"A6","Agaricales",15,0.000788892395077311
1,27,"A6","Ascaridida",8,0.000420742610707899
1,27,"A6","Asterales",0,0
1,27,"A6","Bacillariophytina",0,0
1,27,"A6","Capnodiales",441,0.023193436415273
1,27,"A6","Chaetothyriales",1,5.25928263384874e-05
1,27,"A6","Chlamydomonadales",0,0
1,27,"A6","Chromulinales",0,0
1,27,"A6","Coccidia",11,0.000578521089723362
1,27,"A6","Coleoptera",5,0.000262964131692437
1,27,"A6","Collembola",0,0
1,27,"A6","Conthreep",16,0.000841485221415799
1,27,"A6","Cryomonadida",11,0.000578521089723362
1,27,"A6","Diptera",15780,0.829914799621332
1,27,"A6","Eurotiales",239,0.0125696854948985
1,27,"A6","Eustigmatales",0,0
1,27,"A6","Fabales",2,0.000105185652676975
1,27,"A6","Filobasidiales",161,0.00846744504049648
